"Education/Reading/Class","3/31/18 9:09 AM","3/31/18 10:41 AM","1.53","","","","","",""
"Deep Relaxing/Meditation/Reflection","3/31/18 10:41 AM","3/31/18 10:48 AM","0.12","","","","","",""
"Education/Reading/Class","3/31/18 10:48 AM","3/31/18 11:38 AM","0.83","","","","","",""
"Deep Relaxing/Meditation/Reflection","3/31/18 11:38 AM","3/31/18 12:20 PM","0.7","","","","","",""
"Shallow Work/Planning","3/31/18 12:20 PM","3/31/18 4:37 PM","4.28","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","3/31/18 4:37 PM","3/31/18 5:00 PM","0.38","","","","","",""
"Education/Reading/Class","3/31/18 5:00 PM","3/31/18 6:54 PM","1.9","","","","","",""
"Shallow Work/Planning","3/31/18 6:54 PM","3/31/18 7:54 PM","1","","","","","",""
"Deep Relaxing/Meditation/Reflection","3/31/18 7:54 PM","3/31/18 8:17 PM","0.38","","","","","",""
"Shallow Work/Planning","3/31/18 8:17 PM","3/31/18 9:55 PM","1.63","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","3/31/18 9:55 PM","3/31/18 10:18 PM","0.38","","","","","",""
"Education/Reading/Class","3/31/18 10:18 PM","3/31/18 11:12 PM","0.9","","","","","",""
"Sleeping/Napping","3/31/18 11:13 PM","4/1/18 8:13 AM","9","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/1/18 8:13 AM","4/1/18 8:41 AM","0.47","","","","","",""
"Education/Reading/Class","4/1/18 8:41 AM","4/1/18 10:24 AM","1.72","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/1/18 10:24 AM","4/1/18 12:01 PM","1.62","","","","","",""
"Family/Friends/Socializing","4/1/18 12:01 PM","4/1/18 8:18 PM","8.28","","","","","",""
"Dating","4/1/18 8:18 PM","4/1/18 11:48 PM","3.5","","","","","",""
"Dating","4/1/18 11:47 PM","4/2/18 7:50 AM","8.05","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/2/18 7:50 AM","4/2/18 8:30 AM","0.67","","","","","",""
"Education/Reading/Class","4/2/18 8:30 AM","4/2/18 10:08 AM","1.63","","","","","",""
"Shallow Work/Planning","4/2/18 10:08 AM","4/2/18 10:33 AM","0.42","","","","","",""
"Sleeping/Napping","4/2/18 10:33 AM","4/2/18 11:00 AM","0.45","","","","","",""
