"Job","Clocked In","Clocked Out","Duration","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Education/Reading/Class","5/9/17 8:00 AM","5/9/17 8:32 PM","12.53","","","","","",""
"Education/Reading/Class","5/10/17 8:30 AM","5/10/17 6:55 PM","10.42","","","","","",""
"Education/Reading/Class","5/11/17 8:00 AM","5/11/17 8:20 PM","12.33","","","","","",""
"Education/Reading/Class","5/12/17 9:16 AM","5/12/17 9:06 PM","11.83","","","","","",""
"Education/Reading/Class","5/13/17 9:30 AM","5/13/17 5:19 PM","7.82","","","","","",""
"Education/Reading/Class","5/14/17 11:00 AM","5/14/17 12:24 PM","1.4","","","","","",""
"Tau/Society Work","5/14/17 12:40 PM","5/14/17 4:38 PM","3.97","","","","","",""
"Education/Reading/Class","5/14/17 4:17 PM","5/14/17 6:17 PM","2","","","","","",""
"Education/Reading/Class","5/15/17 9:01 AM","5/15/17 4:01 PM","7","","","","","",""
"Education/Reading/Class","5/16/17 8:02 AM","5/16/17 8:30 PM","12.47","","","","","",""
"Education/Reading/Class","5/17/17 8:50 AM","5/17/17 4:50 PM","8","","","","","",""
"Education/Reading/Class","5/17/17 7:53 PM","5/17/17 9:53 PM","2","","","","","",""
"Education/Reading/Class","5/18/17 8:00 AM","5/18/17 9:29 PM","13.48","","","","","",""
"Education/Reading/Class","5/19/17 9:55 AM","5/19/17 7:27 PM","9.53","","","","","",""
"Education/Reading/Class","5/19/17 8:30 PM","5/19/17 9:41 PM","1.18","","","","","",""
"Education/Reading/Class","5/20/17 9:15 AM","5/20/17 4:05 PM","6.83","","","","","",""
"Education/Reading/Class","5/21/17 9:20 AM","5/21/17 7:33 PM","10.22","","","","","",""
"Education/Reading/Class","5/21/17 8:48 PM","5/21/17 10:12 PM","1.4","","","","","",""
"Education/Reading/Class","5/22/17 8:25 AM","5/22/17 6:22 PM","9.95","","","","","",""
"Education/Reading/Class","5/22/17 7:53 PM","5/22/17 9:56 PM","2.05","","","","","",""
"Education/Reading/Class","5/23/17 8:00 AM","5/23/17 8:21 PM","12.35","","","","","",""
"Education/Reading/Class","5/23/17 9:19 PM","5/23/17 10:16 PM","0.95","","","","","",""
"Education/Reading/Class","5/24/17 8:40 AM","5/24/17 5:50 PM","9.17","","","","","",""
"Education/Reading/Class","5/24/17 8:50 PM","5/24/17 10:14 PM","1.4","","","","","",""
"Education/Reading/Class","5/25/17 8:00 AM","5/25/17 8:29 PM","12.48","","","","","",""
"Education/Reading/Class","5/26/17 9:04 AM","5/26/17 7:51 PM","10.78","","","","","",""
"Education/Reading/Class","5/28/17 9:05 AM","5/28/17 5:00 PM","7.92","","","","","",""
"Education/Reading/Class","5/29/17 11:30 AM","5/29/17 3:53 PM","4.38","","","","","",""
"Education/Reading/Class","5/29/17 5:50 PM","5/29/17 9:00 PM","3.17","","","","","",""
"Education/Reading/Class","5/29/17 10:45 PM","5/29/17 11:30 PM","0.75","","","","","",""
"Education/Reading/Class","5/30/17 8:00 AM","5/30/17 8:30 PM","12.5","","","","","",""
"Education/Reading/Class","5/30/17 9:01 PM","5/30/17 10:01 PM","1","","","","","",""
"Education/Reading/Class","5/31/17 8:25 AM","5/31/17 3:08 PM","6.72","","","","","",""
"Education/Reading/Class","6/1/17 8:00 AM","6/1/17 8:22 PM","12.37","","","","","",""
"Education/Reading/Class","6/2/17 9:30 AM","6/2/17 7:30 PM","10","","","","","",""
"Education/Reading/Class","6/3/17 8:45 AM","6/3/17 7:00 PM","10.25","","","","","",""
"Education/Reading/Class","6/3/17 10:40 PM","6/3/17 11:10 PM","0.5","","","","","",""
"Education/Reading/Class","6/4/17 8:40 AM","6/4/17 1:55 PM","5.25","","","","","",""
"Education/Reading/Class","6/4/17 3:55 PM","6/4/17 7:16 PM","3.35","","","","","",""
"Education/Reading/Class","6/4/17 7:22 PM","6/4/17 8:20 PM","0.97","","","","","",""
"Education/Reading/Class","6/4/17 9:20 PM","6/4/17 10:08 PM","0.8","","","","","",""
"Education/Reading/Class","6/5/17 8:30 AM","6/5/17 8:17 PM","11.78","","","","","",""
"Education/Reading/Class","6/6/17 8:40 AM","6/6/17 8:22 PM","11.7","","","","","",""
"Education/Reading/Class","6/6/17 9:12 PM","6/6/17 11:28 PM","2.27","","","","","",""
"Education/Reading/Class","6/6/17 11:42 PM","6/6/17 11:49 PM","0.12","","","","","",""
"Education/Reading/Class","6/7/17 9:52 AM","6/7/17 7:18 PM","9.43","","","","","",""
"Education/Reading/Class","6/7/17 8:01 PM","6/7/17 9:32 PM","1.52","","","","","",""
"Education/Reading/Class","6/7/17 9:38 PM","6/7/17 10:10 PM","0.53","","","","","",""
"Education/Reading/Class","6/8/17 8:00 AM","6/8/17 8:22 PM","12.37","","","","","",""
"Education/Reading/Class","6/8/17 9:05 PM","6/8/17 10:02 PM","0.9","","","","0.05h subtracted (paused)","-0.05","0"
"Education/Reading/Class","6/9/17 8:40 AM","6/9/17 6:21 PM","9.68","","","","","",""
"Education/Reading/Class","6/9/17 9:33 PM","6/9/17 10:15 PM","0.7","","","","","",""
"Tau/Society Work","6/10/17 8:30 AM","6/10/17 2:30 PM","6","","","","","",""
"Education/Reading/Class","6/10/17 2:30 PM","6/10/17 7:30 PM","5","","","","","",""
"Education/Reading/Class","6/10/17 7:30 PM","6/10/17 7:43 PM","0.22","","","","","",""
"Education/Reading/Class","6/10/17 8:15 PM","6/10/17 8:15 PM","0","","","","","",""
"Education/Reading/Class","6/10/17 8:11 PM","6/10/17 10:20 PM","2.15","","","","","",""
"Education/Reading/Class","6/11/17 8:49 AM","6/11/17 7:33 PM","10.73","","","","","",""
"Education/Reading/Class","6/11/17 9:28 PM","6/11/17 10:25 PM","0.95","","","","","",""
"Education/Reading/Class","6/12/17 8:43 AM","6/12/17 5:43 PM","9","","","","","",""
"Education/Reading/Class","6/12/17 8:11 PM","6/12/17 8:45 PM","0.57","","","","","",""
"Education/Reading/Class","6/12/17 9:12 PM","6/12/17 9:22 PM","0.17","","","","","",""
"Education/Reading/Class","7/4/17 5:55 PM","7/4/17 9:32 PM","3.62","","","","","",""
"Education/Reading/Class","7/4/17 10:43 PM","7/4/17 11:00 PM","0.28","","","","","",""
"Education/Reading/Class","7/5/17 6:47 PM","7/5/17 8:00 PM","1.22","","","","","",""
"Education/Reading/Class","7/5/17 9:40 PM","7/5/17 10:40 PM","1","","","","","",""
"Education/Reading/Class","7/6/17 6:25 PM","7/6/17 8:40 PM","2.25","","","","","",""
"Education/Reading/Class","7/6/17 10:02 PM","7/6/17 10:54 PM","0.87","","","","","",""
"Education/Reading/Class","7/7/17 9:15 AM","7/7/17 1:25 PM","4.17","","","","","",""
"Education/Reading/Class","7/13/17 7:00 PM","7/13/17 9:30 PM","2.5","","","","","",""
